S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66,BV/TV,m1,m2,m3
14439.773982540886,6895.360294978639,8525.62911185464,6895.360294978639,16032.429601632775,9155.25506328002,8525.629111854647,9155.255063280028,24879.35586234333,10744.336389749982,10161.72967401695,8359.72418423324,0.8604,0.79963,0.89906,1.30131
16189.6984565114,7834.053125246094,9606.62442495523,7834.053125246097,17414.15894826088,10079.033003312401,9606.62442495523,10079.033003312405,26278.623456294787,11246.422387660006,10828.86831619068,8942.073630132698,0.8882,0.82544,0.90826,1.2663
13966.47082021461,6314.753785941693,8088.6272262625225,6314.753785941696,14499.157293990345,8284.335294428676,8088.627226262518,8284.33529442867,23944.5333184338,10170.391006664797,10013.967967129996,7971.457945513002,0.8491,0.83223,0.8923,1.27547
15758.951284355266,7248.4678367160495,9245.545019286621,7248.467836716046,15932.26867226547,9292.308442679374,9245.54501928664,9292.30844267937,25660.80927519581,10719.547829917945,10674.867311885591,8447.09120818684,0.8786,0.84865,0.90506,1.24629
15580.246829396569,7257.3897751305085,9151.522288663138,7257.389775130511,16190.998774278176,9383.574994331808,9151.522288663144,9383.57499433181,25619.945018767914,10829.024748102001,10627.197087900582,8531.277923436417,0.8805,0.81481,0.89541,1.28978
16337.079392110154,7514.423900720961,9591.128007226032,7514.4239007209635,16248.664191352294,9542.91017283221,9591.128007226038,9542.910172832208,26168.38802261375,10921.605532181475,10972.679298890673,8732.356055816488,0.8904,0.81793,0.90789,1.27419
16928.65288437641,7937.175082743495,10004.493041830512,7937.175082743495,16845.219277093718,9981.598461920365,10004.493041830512,9981.598461920368,26749.875021637734,11134.129847441976,11164.000125821143,9002.696230497311,0.8966,0.84899,0.87988,1.27112
14519.982020059435,6435.532796273489,8397.141142497196,6435.532796273488,14625.615518911967,8450.237029128062,8397.141142497201,8450.237029128055,24577.89953931929,10363.921331032252,10300.30942373764,8161.258947341326,0.8624,0.84611,0.8773,1.27659
14310.6201940767,6329.46356747301,8250.735014231108,6329.46356747301,14432.982948797882,8304.697433696461,8250.735014231095,8304.69743369647,24106.461945389492,10138.848526599164,10060.202700676207,7860.003071955253,0.8488,0.81757,0.86363,1.31879
15817.873245085444,7343.282916995676,9327.092092448938,7343.282916995669,16086.377013266823,9397.689630470644,9327.092092448931,9397.689630470644,25850.362996100237,10791.115066929986,10760.735822372204,8579.75232777922,0.8789,0.79857,0.87498,1.32644
17359.25986016391,8401.368422049567,10361.64794023731,8401.368422049572,17982.823015517344,10600.729062259876,10361.647940237319,10600.729062259876,27365.69569865601,11491.095611689416,11275.033005917634,9265.116273832724,0.9018,0.82963,0.88696,1.28341
14967.885569448092,6612.14177857623,8560.421412530432,6612.141778576229,14492.48680432414,8382.408515614226,8560.421412530419,8382.408515614226,23947.356143380883,10148.422917884951,10231.31104341393,8135.123248705942,0.8424,0.85139,0.89769,1.25092
16652.83216458188,7533.379418369717,9678.669447768714,7533.379418369718,15970.895572276864,9411.47990645233,9678.669447768718,9411.47990645233,25904.19138034567,10725.641642621626,10960.92454590693,8742.851226114846,0.8766,0.85744,0.86657,1.27599
15676.776359712308,7250.823832768181,9180.231933691,7250.823832768187,15884.05333978538,9251.101253730461,9180.231933691,9251.101253730461,25423.722667188445,10709.568096553388,10609.06147556041,8560.301575505433,0.8695,0.82404,0.89619,1.27977
13477.47886685734,6097.12897584764,7837.791739268091,6097.128975847634,14001.397697265174,8030.042827256058,7837.791739268086,8030.042827256057,23517.494085450857,9929.999521570971,9733.525608961403,7929.482866335454,0.8287,0.8112,0.8703,1.31851
13589.886770077455,6374.1639064183255,7983.679929959984,6374.163906418325,15236.69737540168,8624.67001718719,7983.679929959984,8624.670017187176,24131.14643449414,10400.072988913751,9930.207951567732,8052.015937719034,0.8468,0.8251,0.8965,1.27839
